,instance,solver_conf,benchmark,verdict,status,ftype,log10_count_fromsolver,log10_est_fromsolver,count,count_type,pac-guarantees_epsilon,pac-guarantees_delta,cputime,wall_time,memory,job,fail,file,instance_long,solver,decs,prec,configuration,stdout_file,runsolver_WCTIME,runsolver_CPUTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_RETCODE,runsolver_SIGNAL,sat,lprec,rank,log10_pre,precompute,vote_count,voters,disagreed,log10_from_count_solver,log10_expected,count_expected,log10_from_count_expected,withindiff,err_afct,corr
10,mc2026_track1_021.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,19.57812194711508,19.5781219,37854886389693351111,exact_arb_int,0.0,2.02740935e-23,154.917,167.44,6902452,2026-06-24_22,,mc2026_track1_021.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_021.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance11/run1/stdout.log,167.437,154.917,92.5228,6902452,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,19.578121947115,37854886389693351111,2,"d4,ganak",False,19.578121947115,19.57812194711508,37854886389693351111,19.578121947115,0,0.0,1.0
11,mc2026_track1_023.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,8.652497820441933,8.65249782,449260070,exact_arb_int,0.0,2.08564236e-30,0.1803,0.34,516308,2026-06-24_22,,mc2026_track1_023.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_023.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance12/run1/stdout.log,0.339424,0.180343,53.1321,516308,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,8.652497820442,449260070,3,"d4,ganak,gpmc",False,8.652497820441999999999999999999999999999999999999999999999999999999999999999999999999999998,8.652497820441933,449260070,8.652497820441999999999999999999999999999999999999999999999999999999999999999999999999999998,0,0.0,1.0
12,mc2026_track1_025.cnf,ganak-approx_MCC2026,Track1_MC_Public,TLE,TLE,,,,nan,,,,3583.93,3600.58,28525380,2026-06-24_22,,mc2026_track1_025.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_025.cnf.xz,ganak-approx_MCC2026,unknown,,ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance13/run1/stdout.log,3600.58,3583.93,99.5374,28525380,True,False,0,15,,"['approx', 'arb', 'int']",C: Approx,,,0,,False,,23.33033845314188,213962888944276310886074,23.330338453141999999999999999999999999999999999999999999999999999999999999999999999999999998,nan,,
13,mc2026_track1_027.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,0.6020599913279624,0.602059991,4,exact_arb_int,0.0,0.0,750.817,818.25,639528,2026-06-24_22,,mc2026_track1_027.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_027.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance14/run1/stdout.log,818.248,750.817,91.7591,639528,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,0.602059991328,4,2,"d4,ganak",False,0.60205999132799999999999999999999999999999999999999999999999999999999999999999999999999999992,0.6020599913279624,4,0.60205999132799999999999999999999999999999999999999999999999999999999999999999999999999999992,0,0.0,1.0
14,mc2026_track1_029.cnf,ganak-approx_MCC2026,Track1_MC_Public,TLE,TLE,,,,nan,,,,3186.7,3600.18,1673288,2026-06-24_22,,mc2026_track1_029.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_029.cnf.xz,ganak-approx_MCC2026,unknown,,ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance15/run1/stdout.log,3600.18,3186.7,88.5151,1673288,True,False,0,15,,"['approx', 'arb', 'int']",C: Approx,,,0,,False,,6.623153321597414,4199072.0019531299999999999999999999999999999999999999999999999999999999999999999999999999989,6.6231533215969999999999999999999999999999999999999999999999999999999999999999999999999999983,nan,,
15,mc2026_track1_031.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,2.3324384599156054,2.33243846,215,exact_arb_int,0.0,8.992531780000001e-37,354.324,384.47,620216,2026-06-24_22,,mc2026_track1_031.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_031.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance16/run1/stdout.log,384.472,354.324,92.1587,620216,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,2.332438459916,215,3,"d4,ganak,gpmc",False,2.3324384599159999999999999999999999999999999999999999999999999999999999999999999999999999991,2.3324384599156054,215,2.3324384599159999999999999999999999999999999999999999999999999999999999999999999999999999991,0,0.0,1.0
16,mc2026_track1_033.cnf,ganak-approx_MCC2026,Track1_MC_Public,TLE,TLE,,,,nan,,,,3330.48,3600.01,633828,2026-06-24_22,,mc2026_track1_033.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_033.cnf.xz,ganak-approx_MCC2026,unknown,,ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance17/run1/stdout.log,3600.01,3330.48,92.513,633828,True,False,0,15,,"['approx', 'arb', 'int']",C: Approx,,,0,,False,,,nan,,nan,,
17,mc2026_track1_035.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,7.219805022675418,7.21980502,16588420,exact_arb_int,0.0,5.60599721e-27,11.2456,12.42,683440,2026-06-24_22,,mc2026_track1_035.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_035.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance18/run1/stdout.log,12.4235,11.2456,90.5191,683440,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,7.219805022675,16588420,3,"d4,ganak,gpmc",False,7.2198050226749999999999999999999999999999999999999999999999999999999999999999999999999999995,7.219805022675418,16588420,7.2198050226749999999999999999999999999999999999999999999999999999999999999999999999999999995,0,0.0,1.0
18,mc2026_track1_037.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,6.091355982867558,6.09135598,1234116,exact_arb_int,0.0,4.3304027e-30,0.95,1.38,519280,2026-06-24_22,,mc2026_track1_037.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_037.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance19/run1/stdout.log,1.37555,0.950035,69.0658,519280,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,6.091355982868,1234116,3,"d4,ganak,gpmc",False,6.0913559828679999999999999999999999999999999999999999999999999999999999999999999999999999998,6.091355982867558,1234116,6.0913559828679999999999999999999999999999999999999999999999999999999999999999999999999999998,0,0.0,1.0
19,mc2026_track1_039.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,11.446936891333069,11.4469369,279857462060,exact_arb_int,0.0,1.55705982e-33,14.5441,15.84,522080,2026-06-24_22,,mc2026_track1_039.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_039.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance20/run1/stdout.log,15.8378,14.5441,91.8316,522080,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,11.446936891333,279857462060,3,"d4,ganak,gpmc",False,11.446936891332999999999999999999999999999999999999999999999999999999999999999999999999999997,11.446936891333069,279857462060,11.446936891332999999999999999999999999999999999999999999999999999999999999999999999999999997,0,0.0,1.0
